,zone,code,pitch_type,ab_id,b_count,s_count,outs,pitch_num,on_1b,on_2b,on_3b,batter_id,g_id,inning,pitcher_id,stand,top,home_team,start_time,weather,wind,pitch_height,pitch_width,FF_height,FF_width,CH_height,CH_width,SL_height,SL_width,FC_height,FC_width,CU_height,CU_width,run_dif,run_total,batter_score
0,13.0,0,FF,2015000632.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,434158,201500010,1,453286,L,True,1,4.15,76,"14 mph, Out to CF",-2,-2,-2,-2,0,0,0,0,0,0,0,0,0.0,0.0,0.09224318658280922
1,11.0,0,FF,2015000632.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,434158,201500010,1,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,0.0,0.0,0.08304498269896193
2,11.0,0,FF,2015000632.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,434158,201500010,1,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,0.0,0.0,0.08304498269896193
3,14.0,0,CH,2015000632.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,434158,201500010,1,453286,L,True,1,4.15,76,"14 mph, Out to CF",-2,2,0,0,-2,2,0,0,0,0,0,0,0.0,0.0,0.047619047619047616
4,11.0,0,FF,2015000632.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,434158,201500010,1,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,0.0,0.0,0.08304498269896193
5,11.0,0,CH,2015000632.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,434158,201500010,1,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,0,0,2,-2,0,0,0,0,0,0,0.0,0.0,0.07106598984771574
6,2.0,0,FF,2015000632.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,434158,201500010,1,453286,L,True,1,4.15,76,"14 mph, Out to CF",1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.06951871657754011
7,11.0,1,FF,2015000632.0,3.0,2.0,0.0,8.0,0.0,0.0,0.0,434158,201500010,1,453286,L,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,0.0,0.0,0.08304498269896193
8,12.0,0,FF,2015000633.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,431151,201500010,1,453286,R,True,1,4.15,76,"14 mph, Out to CF",2,-2,2,-2,0,0,0,0,0,0,0,0,0.0,0.0,0.03543307086614173
9,4.0,0,FF,2015000633.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,431151,201500010,1,453286,R,True,1,4.15,76,"14 mph, Out to CF",0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.10375275938189846
10,8.0,0,SL,2015000633.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,431151,201500010,1,453286,R,True,1,4.15,76,"14 mph, Out to CF",-1,0,0,0,0,0,-1,0,0,0,0,0,0.0,0.0,0.10919540229885058
11,8.0,0,SL,2015000633.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,431151,201500010,1,453286,R,True,1,4.15,76,"14 mph, Out to CF",-1,0,0,0,0,0,-1,0,0,0,0,0,0.0,0.0,0.10919540229885058
12,1.0,0,FF,2015000634.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,446263,201500010,1,453286,L,True,1,4.15,76,"14 mph, Out to CF",1,-1,1,-1,0,0,0,0,0,0,0,0,0.0,0.0,0.060085836909871244
